,Unnamed: 0.1,Unnamed: 0,REF_PERSONNE,RAISON_SOCIALE,MATRICULE_FISCALE,VILLE,LIB_GOUVERNORAT,LIB_SECTEUR_ACTIVITE,LIB_ACTIVITE,VILLE_GOUVERNORAT,TYPE_PERSONNE,NOM_PRENOM,DATE_NAISSANCE,CODE_SEXE,SITUATION_FAMILIALE,NUM_PIECE_IDENTITE,LIB_PROFESSION,AGE,contracts_count,branches_set,products_set,total_paid,active_contracts,expired_contracts,reduced_contracts,instance_contracts,terminated_contracts,suspended_contracts,claims_count
71,71,71,71860,SOCIETE_000072,0000072S,-,-,CONSTRUCTION,TRAVAUX DE MAÇONNERIE GÉNÉRALE,-,MORALE,-,-,-,-,-,-,,2.0,"['ENGINEERING', 'RISQUES DIVERS']","['RC ENTREPRISE DE BATIMENT ET TRAVAUX PUBLIC', 'TOUS RISQUES CHANTIER']",500850.341,0.0,2.0,0.0,0.0,0.0,0.0,0.0
72,72,72,72502,SOCIETE_000073,0000073A,-,-,INDUSTRIE TEXTILE,FABRICATION D AUTRES ARTICLES CONFECTIONNÉS EN TEXTILE,-,MORALE,-,-,-,-,-,-,,1.0,['INCENDIE'],['MULTIRISQUES PROFESSIONNELLES CENTRALISE'],16313.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0
73,73,73,73417,SOCIETE_000074,0000074C,-,-,ACTIVITES IARD TARIFIABLES,"AGENCE ( DE VOYAGE,ASSURANCE,IMMOBILIERE)",-,MORALE,-,-,-,-,-,-,,1.0,['INCENDIE'],['MULTIRISQUES PROFESSIONNELLES CENTRALISE'],436.388,0.0,0.0,0.0,0.0,1.0,0.0,1.0
74,74,74,73517,SOCIETE_000075,0000075O,-,-,FABRICATION D AUTRES MATÉRIELS DE TRANSPORT,CONSTRUCTION DE MOTEURS POUR AÉRONEFS,-,MORALE,-,-,-,-,-,-,,1.0,['INCENDIE'],['MULTIRISQUES PROFESSIONNELLES CENTRALISE'],26509.515,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75,75,75,73775,SOCIETE_000076,0000076W,-,-,INTERMÉDIATION FINANCIÈRE,BANQUE CENTRALE,-,MORALE,-,-,-,-,-,-,,4.0,"['RISQUES DIVERS', 'INCENDIE', 'AUTOMOBILE', 'GROUPE-MALADIE']","['AUTOMOBILE II', 'SANTE ET PREVOYANCE', 'INDIVIDUELLE ACCIDENTS', 'MULTIRISQUES PROFESSIONNELLES CENTRALISE']",4414816.19249850225.3932542955103005.595,1.0,0.0,0.0,0.0,3.0,0.0,36.0
76,76,76,73776,SOCIETE_000077,0000077Q,,-,INTERMÉDIATION FINANCIÈRE,BANQUE CENTRALE,-,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
77,77,77,73777,SOCIETE_000078,0000078D,BORJ LOUZIR ARIANA,-,INTERMÉDIATION FINANCIÈRE,BANQUES,BORJ LOUZIR ARIANA -,MORALE,-,-,-,-,-,-,,2.0,['AUTOMOBILE'],['AUTOMOBILE'],364.78962.64,0.0,1.0,0.0,0.0,1.0,0.0,4.0
78,78,78,73781,SOCIETE_000079,0000079D,BEN AROUS,-,INTERMÉDIATION FINANCIÈRE,BANQUES,BEN AROUS -,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
79,79,79,73782,SOCIETE_000080,0000080K,-,-,INTERMÉDIATION FINANCIÈRE,BANQUES,-,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
80,80,80,74370,SOCIETE_000081,0000081P,-,-,ACTIVITES IARD TARIFIABLES,"ECOLES, COLLEGES, CENTRE DE FORMATION",-,MORALE,-,-,-,-,-,-,,1.0,['RISQUES DIVERS'],['R.C GARDERIE ET JARDIN D ENFANTS'],1085.688,0.0,0.0,0.0,0.0,1.0,0.0,0.0
81,81,81,73779,SOCIETE_000082,0000082J,EL AAGBA,-,INTERMÉDIATION FINANCIÈRE,BANQUES,EL AAGBA -,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
82,82,82,77413,SOCIETE_000083,0000083L,-,-,"ACTIVITÉS RÉCRÉATIVES, CULTURELLES ET SPORTIVES",AUTRES ACTIVITÉS SPORTIVES,-,MORALE,-,-,-,-,-,-,,1.0,['RISQUES DIVERS'],['RESPONSABILITE CIVILE'],2300,0.0,1.0,0.0,0.0,0.0,0.0,2.0
83,83,83,77635,SOCIETE_000084,0000084J,-,-,HÔTELS ET RESTAURANTS,HÔTELS AVEC RESTAURANT,-,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
84,84,84,88848,SOCIETE_000085,0000085Y,-,-,ACTIVITES IARD TARIFIABLES,SALLE DE SPECTACLE OU DE FETE,-,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
85,85,85,90353,SOCIETE_000086,0000086M,,-,AGENCES ET BUREAUX,AGENCES ET BUREAUX,-,MORALE,-,-,-,-,-,-,,1.0,['AUTOMOBILE'],['AUTOMOBILE'],1502.19,0.0,0.0,0.0,0.0,1.0,0.0,0.0
86,86,86,90425,SOCIETE_000087,0000087M,-,-,HÔTELS ET RESTAURANTS,CAFÉS TABACS,-,MORALE,-,-,-,-,-,-,,1.0,['INCENDIE'],['MULTIRISQUES PROFESSIONNELLES CENTRALISE'],3476.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
87,87,87,91783,SOCIETE_000088,0000088Y,-,-,ACTIVITES IARD TARIFIABLES,BOULANGERIE AVEC FOURS AU FUEL (SANS FABRICATION DE BISCUITS ET DE GATEAUX SECS),-,MORALE,-,-,-,-,-,-,,2.0,['INCENDIE'],['MULTIRISQUES PROFESSIONNELLES CENTRALISE'],1234.82768.4,0.0,0.0,0.0,0.0,2.0,0.0,0.0
88,88,88,97423,SOCIETE_000089,0000089W,-,-,AGENCES ET BUREAUX,AGENCES ET BUREAUX,-,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
89,89,89,98018,SOCIETE_000090,0000090G,-,-,INDUSTRIE,-,-,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
90,90,90,98358,SOCIETE_000091,0000091F,-,-,ACTIVITES IARD TARIFIABLES,ELECTRICIENS (REPARATION ET VENTE DE FOURNITURES POUR INSTALLATIONS ELECTRIQUE A L EXEPTION DU MATERIEL TRAITE SOUS LA RUBRIQUE -RADIO TV- ),-,MORALE,-,-,-,-,-,-,,2.0,"['ENGINEERING', 'RISQUES DIVERS']","['RC ENTRPRISES INDUSTRIELLES', 'TOUS RISQUES CHANTIER']",2001259.004,0.0,2.0,0.0,0.0,0.0,0.0,0.0
91,91,91,95224,SOCIETE_000092,0000092W,-,-,AUCUN,NON DEFINI,-,MORALE,-,-,-,-,-,-,,2.0,['AUTOMOBILE'],['AUTOMOBILE'],1361.3875628.6719,0.0,0.0,0.0,0.0,2.0,0.0,5.0
92,92,92,96048,SOCIETE_000093,0000093R,-,-,COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE,COMMERCE DE GROS DE FOURNITURES ET ÉQUIPEMENTS INDUSTRIELS DIVERS,-,MORALE,-,-,-,-,-,-,,3.0,"['TRANSPORT', 'AUTOMOBILE']","['POLICE ABONNEMENT(FACULTE MARITIME)', 'AUTOMOBILE']",-6446.5111801.578,1.0,0.0,0.0,0.0,2.0,0.0,6.0
93,93,93,99601,SOCIETE_000094,0000094B,-,-,ÉDUCATION,AUTRES ENSEIGNEMENTS,-,MORALE,-,-,-,-,-,-,,1.0,['RISQUES DIVERS'],['R.C GARDERIE ET JARDIN D ENFANTS'],1800,0.0,0.0,0.0,0.0,1.0,0.0,0.0
94,94,94,100367,SOCIETE_000095,0000095Y,-,-,COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE,AGRICULTEURS,-,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
95,95,95,100843,SOCIETE_000096,0000096E,-,-,AUTRES INDUSTRIES EXTRACTIVES,EXTRACTION DE PIERRES POUR LA CONSTRUCTION,-,MORALE,-,-,-,-,-,-,,1.0,['AUTOMOBILE'],['AUTOMOBILE'],15446.10855,0.0,0.0,0.0,0.0,1.0,0.0,1.0
96,96,96,103147,SOCIETE_000097,0000097U,-,-,SERVICES AUXILIAIRES DES TRANSPORTS,"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX",-,MORALE,-,-,-,-,-,-,,22.0,"['RISQUES DIVERS', 'INCENDIE', 'AUTOMOBILE']","['OMNICANAL AUTOMOBILE PACK2', 'OMNICANAL AUTOMOBILE PACK PERSONALISE', 'RESPONSABILITE CIVILE', 'AUTOMOBILE', 'AUTOMOBILE II', 'INCENDIE RISQUES SIMPLE CENTRALISE']",390.21000649.2056968.58555645.49252822.511379.0495239.876954.0361298129816003.622778.9241755.3286005619.7818704361.344919.74212002261.65054104.3884,0.0,4.0,0.0,0.0,18.0,0.0,15.0
97,97,97,105430,SOCIETE_000098,0000098O,HAMMAM SOUSSE,-,ACTIVITÉS IMMOBILIÈRES,PROMOTION IMMOBILIÈRE DE LOGEMENTS,HAMMAM SOUSSE -,MORALE,-,-,-,-,-,-,,4.0,"['INCENDIE', 'AUTOMOBILE']","['AUTOMOBILE', 'MULTIRISQUES PROFESSIONNELLES CENTRALISE']",156.0045943.5271372.42534,0.0,1.0,0.0,0.0,3.0,0.0,2.0
98,98,98,107750,SOCIETE_000099,0000099D,-,-,COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE,AUTRES INTERMÉDIAIRES SPÉCIALISÉS DU COMMERCE,-,MORALE,-,-,-,-,-,-,,12.0,"['INCENDIE', 'AUTOMOBILE']","['AUTOMOBILE II', 'AUTOMOBILE', 'MULTIRISQUES PROFESSIONNELLES CENTRALISE']",3320.9763266.9223446.3953266.9223353.3463685.4222281.5123615.71383120.803881022.1238192.685293363.45095,2.0,0.0,0.0,0.0,10.0,0.0,73.0
99,99,99,112009,SOCIETE_000100,0000100T,-,-,SERVICES PERSONNELS,AUTRES SERVICES PERSONNELS,-,MORALE,-,-,-,-,-,-,,3.0,['AUTOMOBILE'],['AUTOMOBILE'],1156.13487.243998.6,2.0,0.0,0.0,0.0,1.0,0.0,2.0
